Age;Gender;MaritalStatus;ChildrenNumber;HasChildren;CountryCitizen;CountryLive;IsEthnicMinority;LanguageAtHome;EmploymentField;Income;IsUnderEmployed;SchoolDegree;SchoolMajor;HoursLearning;MoneyForLearning;MonthsProgramming
26;male;married or domestic partnership;NA;0;United States of America;United States of America;0;English;software development;40000;1;master's degree (non-professional);Music;10;6000;8
25;male;NA;NA;NA;Netherlands;Netherlands;1;Deutch;software development;30000;0;bachelor's degree;Public Administration;40;0;3
25;male;married or domestic partnership;NA;0;United States of America;United States of America;1;English;office and administrative support;40000;1;bachelor's degree;Anthropology;10;50;1
34;male;NA;NA;NA;United States of America;United States of America;0;English;education;45000;0;master's degree (non-professional);Physics;2;250;36
31;male;NA;NA;NA;United States of America;United States of America;1;Hindi;finance;34000;1;bachelor's degree;Liberal Arts;10;25;3
46;female;single- never married;3;1;Sweden;Sweden;0;Swedish;arts- entertainment- sports- or media;45000;1;master's degree (non-professional);Linguistics;10;300;100
19;male;NA;NA;NA;United States of America;United States of America;1;English;software development;10000;0;some college credit- no degree;NA;25;40;36
22;male;single- never married;NA;0;Pakistan;Pakistan;0;Urdu;NA;NA;NA;some high school;NA;2;0;1
NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;0;72
30;male;married or domestic partnership;NA;0;United States of America;United States of America;0;English;software development;37000;0;high school diploma or equivalent (GED);NA;10;500;120
25;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;some college credit- no degree;NA;30;0;10
15;female;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;some high school;NA;10;0;1
36;male;married or domestic partnership;2;1;Ecuador;Ecuador;1;Spanish;software development;20000;1;bachelor's degree;Computer Science;8;20;60
26;female;NA;NA;NA;United States of America;United States of America;1;Spanish;health care;19000;1;bachelor's degree;Biology;5;0;14
43;male;married or domestic partnership;1;1;Australia;Australia;1;Yue (Cantonese) Chinese;NA;NA;NA;Ph.D.;Electrical Engineering;10;3000;36
24;male;NA;NA;NA;Nepal;Australia;0;Nepali;NA;NA;NA;bachelor's degree;Information Technology;NA;400;4
27;male;married or domestic partnership;2;1;United States of America;United States of America;0;English;food and beverage;50000;1;bachelor's degree;Liberal Arts;8;100;0
31;female;NA;NA;NA;France;Korea South;0;French;office and administrative support;35000;1;master's degree (non-professional);International Business;100;0;24
28;male;NA;NA;NA;Canada;Canada;0;English;transportation;70000;0;associate's degree;Aviation;1;0;4
32;male;NA;NA;NA;United States of America;United States of America;0;English;software development;20000;0;bachelor's degree;Sociology;4;250;32
23;male;NA;NA;NA;France;Canada;0;French;NA;NA;NA;master's degree (non-professional);Computer Science;30;0;30
16;male;NA;NA;NA;Netherlands;Netherlands;0;Dutch;food and beverage;NA;0;no high school (secondary school);NA;5;0;1
29;female;NA;NA;NA;United States of America;United States of America;0;English;education;35000;1;bachelor's degree;Anthropology;40;500;24
43;male;NA;NA;NA;Greece;Austria;1;Greek;Timekeeping ;NA;1;bachelor's degree;Electrical Engineering;10;0;2
25;male;NA;NA;NA;Canada;Canada;0;English;software development;30000;0;bachelor's degree;Engineering;3;150;60
35;male;NA;NA;NA;United States of America;United States of America;0;English;software development;135000;0;master's degree (non-professional);Computer Science;20;0;3
33;female;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;bachelor's degree;Music;3;0;6
18;female;NA;NA;NA;Philippines;Canada;1;English;NA;NA;NA;high school diploma or equivalent (GED);NA;6;0;1
21;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;associate's degree;Electrical Engineering;30;0;4
24;male;NA;NA;NA;Australia;Australia;1;Pashto;software development;35000;1;bachelor's degree;Engineering;15;0;3
20;male;NA;NA;NA;India;India;0;Marathi;NA;NA;NA;some college credit- no degree;NA;12;0;7
25;female;NA;NA;NA;Jamaica;United Kingdom;1;English;office and administrative support;26000;1;master's degree (non-professional);Psychology;15;30;8
24;female;NA;NA;NA;United States of America;United States of America;1;English;NA;NA;NA;bachelor's degree;Communications;15;0;2
41;male;married or domestic partnership;3;1;Barbados;United States of America;0;English;software development;75000;0;some college credit- no degree;NA;30;15000;24
27;male;NA;NA;NA;United States of America;United States of America;0;English;software development;16000;1;bachelor's degree;Physics;20;120;9
24;male;NA;NA;NA;Belgium;Belgium;0;Dutch;NA;NA;NA;master's degree (non-professional);Liberal Arts;25;0;1
22;male;NA;NA;NA;United States of America;United States of America;1;Portuguese;NA;NA;NA;bachelor's degree;Information Technology;10;0;9
32;male;married or domestic partnership;NA;0;United States of America;United States of America;0;English;software development;45000;0;associate's degree;Web Design;6;0;48
28;male;NA;NA;NA;Canada;Canada;0;English;software development;NA;0;bachelor's degree;Finance;4;100;1
40;male;separated;2;1;Ireland;Thailand;1;English;education;24000;0;bachelor's degree;Education;20;50;9
31;male;NA;NA;NA;United States of America;United States of America;0;English;arts- entertainment- sports- or media;7000;1;bachelor's degree;Linguistics;50;500;13
22;male;NA;NA;NA;United States of America;United States of America;1;English;NA;NA;NA;associate's degree;Electrical Engineering;20;10;2
32;male;married or domestic partnership;4;1;United States of America;United States of America;0;English;Retail;53000;0;associate's degree;Computer Science;10;250;60
36;female;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;master's degree (non-professional);Environmental Science;20;300;14
27;male;married or domestic partnership;2;1;United States of America;United States of America;0;English;NA;NA;NA;some college credit- no degree;NA;NA;0;3
27;male;NA;NA;NA;United Kingdom;United Kingdom;0;English;Qa;NA;1;bachelor's degree;Computer Science;10;100;6
26;male;NA;NA;NA;Croatia;Republic of Montenegro;0;Serbo-Croatian;office and administrative support;6000;1;bachelor's degree;Information Technology;20;0;6
30;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;bachelor's degree;Cinematography And Film;20;0;14
26;male;NA;NA;NA;Bolivia;Bolivia;0;Spanish;NA;NA;NA;bachelor's degree;Systems Engineering;18;300;6
14;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;no high school (secondary school);NA;2;0;12
34;male;married or domestic partnership;1;1;United States of America;Korea South;1;English;education;45000;0;some college credit- no degree;NA;12;0;2
37;male;married or domestic partnership;1;1;Ireland;Ireland;0;English;transportation;34000;1;some college credit- no degree;NA;1;200;12
34;female;NA;NA;NA;United States of America;United States of America;0;English;education;76000;1;Ph.D.;Biology;6;200;3
24;male;NA;NA;NA;Senegal;Senegal;0;French;NA;NA;NA;associate's degree;Advertising and Marketing;5;40;2
34;female;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;master's degree (non-professional);Creative Writing;2;0;2
29;male;NA;NA;NA;United States of America;United States of America;1;English;Customer service;35000;1;high school diploma or equivalent (GED);NA;10;30;3
50;male;NA;NA;NA;United States of America;United States of America;0;English;Real Estate;40000;1;bachelor's degree;Business Administration;10;600;11
19;male;NA;NA;NA;United Kingdom;United Kingdom;0;English;NA;NA;NA;some college credit- no degree;NA;3;100;24
32;male;NA;NA;NA;United States of America;United States of America;0;English;education;46000;1;master's degree (non-professional);Philosophy;10;250;3
22;male;NA;NA;NA;Ireland;Ireland;0;English;NA;NA;NA;bachelor's degree;Computer Science;25;0;43
26;female;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;high school diploma or equivalent (GED);NA;10;399;0
30;male;NA;NA;NA;United States of America;United States of America;0;English;education;40000;1;master's degree (non-professional);Music;20;200;3
26;female;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;some college credit- no degree;NA;30;12000;28
27;male;NA;NA;NA;Romania;Romania;0;Russian;NA;NA;NA;bachelor's degree;Computer Science;56;1900;12
37;female;married or domestic partnership;1;1;Canada;Canada;0;French;office and administrative support;15000;1;master's degree (non-professional);History;15;150;9
30;male;married or domestic partnership;NA;0;United States of America;United States of America;0;English;software development;10000;0;master's degree (non-professional);International Relations;0;3000;13
40;female;married or domestic partnership;NA;0;Canada;Canada;1;English;Marketing;75000;0;master's degree (non-professional);English;20;0;2
22;male;NA;NA;NA;New Zealand;New Zealand;0;English;software development;46000;0;bachelor's degree;Computer Science;10;300;30
32;male;NA;NA;NA;United States of America;Canada;0;English;NA;NA;NA;master's degree (non-professional);Graphic Design;40;8000;14
27;male;married or domestic partnership;1;1;Australia;Australia;0;Bengali;Housekeeper ;20000;1;bachelor's degree;Civil Engineering;20;100;12
28;male;married or domestic partnership;NA;0;Cambodia;Cambodia;0;Khmer;NA;NA;NA;master's degree (non-professional);Computer Science;14;200;4
50;male;divorced;3;1;Canada;Canada;0;English;arts- entertainment- sports- or media;25000;1;some college credit- no degree;NA;50;100;3
26;male;NA;NA;NA;United Kingdom;United Kingdom;0;English;marketing;50000;1;master's degree (non-professional);Political Science;25;50;5
29;male;NA;NA;NA;United States of America;United States of America;1;English;construction and extraction;60000;0;professional degree (MBA- MD- JD- etc.);Economics;10;500;6
34;female;married or domestic partnership;1;1;Romania;Canada;1;French;office and administrative support;30000;1;master's degree (non-professional);Psychology;10;0;5
36;male;married or domestic partnership;4;1;United States of America;United States of America;0;English;software development;120000;0;some college credit- no degree;NA;10;1000;180
31;female;NA;NA;NA;Canada;Canada;0;English;office and administrative support;28000;1;bachelor's degree;History;4;0;4
21;male;NA;NA;NA;Algeria;Algeria;0;Arabic;NA;NA;NA;bachelor's degree;Computer Science;14;0;1
29;female;NA;NA;NA;United States of America;United States of America;0;English;food and beverage;25000;1;bachelor's degree;Computer Aided Design (CAD);15;200;24
26;female;NA;NA;NA;United States of America;United States of America;1;English;software development;NA;0;bachelor's degree;Industrial Design;5;50;2
19;female;NA;NA;NA;United States of America;United States of America;1;Yue (Cantonese) Chinese;NA;NA;NA;some college credit- no degree;NA;15;0;36
25;male;NA;NA;NA;Ireland;Ireland;1;English;NA;NA;NA;bachelor's degree;Computer Science;12;NA;2
31;male;NA;NA;NA;United States of America;United States of America;0;English;finance;45000;0;bachelor's degree;Economics;5;300;12
37;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;master's degree (non-professional);Math;40;500;6
27;male;NA;NA;NA;United States of America;United States of America;1;English;NA;NA;NA;master's degree (non-professional);Finance;NA;0;2
19;male;NA;NA;NA;India;United States of America;1;Tamil;NA;NA;NA;high school diploma or equivalent (GED);NA;7;50;10
50;female;NA;NA;NA;United States of America;United States of America;0;English;health and fitness;NA;1;professional degree (MBA- MD- JD- etc.);Accounting;20;500;36
24;male;NA;NA;NA;United States of America;United States of America;0;English;health care;20000;1;bachelor's degree;Kinesiology And Exercise Science;40;200;5
28;male;single- never married;1;1;United States of America;United States of America;0;English;software development;30000;0;bachelor's degree;Economics;20;0;7
31;female;NA;NA;NA;Canada;Canada;0;French;Tourism;35000;0;trade- technical- or vocational training;NA;4;100;24
49;male;married or domestic partnership;4;1;United States of America;United States of America;0;English;transportation;126000;0;professional degree (MBA- MD- JD- etc.);Mechanical Engineering;10;0;4
24;female;NA;NA;NA;Canada;Canada;0;English;NA;NA;NA;some college credit- no degree;NA;60;5500;2
30;female;NA;NA;NA;Guatemala;United States of America;1;English;NA;NA;NA;bachelor's degree;Electrical Engineering;30;0;12
49;male;married or domestic partnership;NA;0;United States of America;United States of America;0;English;software development;90000;1;bachelor's degree;Communications;15;6000;15
45;male;NA;NA;NA;United States of America;United States of America;0;English;NA;NA;NA;some college credit- no degree;NA;40;0;NA
55;male;married or domestic partnership;3;1;NA;NA;0;NA;NA;24000;1;professional degree (MBA- MD- JD- etc.);NA;12;500;6
20;male;NA;NA;NA;Pakistan;United States of America;1;Urdu;NA;NA;NA;some college credit- no degree;NA;42;200;4
31;female;married or domestic partnership;1;1;United States of America;United States of America;0;English;office and administrative support;12000;1;some college credit- no degree;NA;50;200;6
21;male;NA;NA;NA;Russia;Russia;0;Russian;NA;NA;NA;bachelor's degree;Business Administration;20;0;12
36;male;married or domestic partnership;NA;0;Mexico;Mexico;0;Spanish;office and administrative support;20000;0;some college credit- no degree;NA;3;2000;60
